№ закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;ИНН;Статус№1;Цена победителя;№2;Статус №2;Цена №2;Дата окончания контракта;Дата начала контракта;Адрес;Контакты;ФИО Руководителя
№ 0318100051221000017;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0318100051221000017;Подача заявок;Выполнение работ по проведению приемочной диагностики вводного участка, законченного строительством объекта: «Расходы на мероприятия по повышению уровня обустройства автомобильныхдорогфедерального значения. Устройство укрепительных сооружений на автомобильнойдорогеА-159 подъезднаядорогаот г. Майкопа к Кавказскому государственному биосферному заповеднику на участке км 42+950 – км 43+000, км 56+300 – км 56+400, РеспубликаАдыгея».;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХДОРОГ""ЧЕРНОМОРЬЕ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";26.03.2021;371 292,50 ;;;;;;;;;;;;;;
№ 0318100051221000015;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0318100051221000015;Подача заявок;"Выполнение работ по проведению приемочной диагностики вводного участка, законченного капитальным ремонтом объектов: «Капитальный ремонт автомобильнойдорогиА-146 Краснодар - Верхнебаканский на участке км 0+000 - км 15+300, РеспубликаАдыгея». «Капитальный ремонт автомобильнойдорогиР-217 ""Кавказ"" автомобильнаядорогаМ-4 ""Дон"" - Владикавказ - Грозный - Махачкала - граница с Азербайджанской Республикой км 139+000 - км 148+000, Краснодарский край». «Капитальный ремонт автомобильнойдорогиА-290 Новороссийск - Керчь км 48+988 - км 55+800, Краснодарский край».";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХДОРОГ""ЧЕРНОМОРЬЕ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";26.03.2021;3 335 037,50 ;;;;;;;;;;;;;;
№ 0318100051221000014;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0318100051221000014;Подача заявок;"...  объектов: «Ремонт автомобильнойдорогиА-160 Майкоп - Бжедугхабль -Адыгейск- Усть-Лабинск - Кореновск ...  край». «Ремонт автомобильнойдорогиР-217 ""Кавказ"" автомобильнаядорогаМ-4 ""Дон ...  край». «Ремонт автомобильнойдорогиА-160 Майкоп - Бжедугхабль -Адыгейск- Усть-Лабинск - Кореновск ...";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХДОРОГ""ЧЕРНОМОРЬЕ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";26.03.2021;1 985 175,00 ;;;;;;;;;;;;;;
№ 0376300000121000060;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0376300000121000060;Работа комиссии;Выполнение работ по ремонту автомобильнойдорогипо ул. Привокзальная от ж/д №153 до ж/д№173 в г.Майкопе РеспубликиАдыгея;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ГОРОД МАЙКОП""";22.03.2021;10 631 903,00 ;;;;;;;;;;;;;;
№ 0176300006721000027;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0176300006721000027;Определение поставщика завершено;Выполнение работ по содержанию улично-дорожной сети г.Адыгейск;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ГОРОДАДЫГЕЙСК""";17.03.2021;1 555 227,67 ;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0176300006721000027;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ГОРОД АДЫГЕЙСК""";Смирнов марк юрьевич -.;;1 - Победитель;1 461 914,01;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЕНИЕ ПО ВНЕДРЕНИЮ И ЭКСПЛУАТАЦИИ ТЕХНИЧЕСКИХ СРЕДСТВ ОРГАНИЗАЦИИ ДОРОЖНОГО ДВИЖЕНИЯ НА ДОРОГАХ КУБАНИ""";2 - Второй номер;1 469 690,15;;;;;
№ 0179200001921000132;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0179200001921000132;Подача заявок;Выполнение работ по содержанию автомобильныхдорогрегионального и межмуниципального значения Карачаево-Черкесской Республики, расположенных на территорииАдыге-Хабльского, Ногайского, Хабезского и Абазинского муниципальных районов, протяженностью 282,800км., на 2-4 квартал 2021 года, 2022-2023 гг.;УПРАВЛЕНИЕ КАРАЧАЕВО-ЧЕРКЕССКОЙ РЕСПУБЛИКИ В СФЕРЕ ЗАКУПОК;16.03.2021;127 402 263,00 ;;;;;;;;;;;;;;
№ 0318100051221000012;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0318100051221000012;Определение поставщика завершено;"Выполнение подрядных работ по объекту: ""Ремонт моста через р. Камла на км 18+561 автомобильнойдорогиА-160 Майкоп - Бжедугхабль -Адыгейск- Усть-Лабинск - Кореновск (направление Бжедугхабль -Адыгейск), РеспубликаАдыгея"" (Завершение работ)";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХДОРОГ""ЧЕРНОМОРЬЕ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";16.03.2021;41 282 366,00 ;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0318100051221000012;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХ ДОРОГ ""ЧЕРНОМОРЬЕ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";;;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОРОЖНО-СТРОИТЕЛЬНОЕ УПРАВЛЕНИЕ №4""";;41 282 366,00;;;;;
№ 0318100051221000010;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0318100051221000010;Подача заявок;Выполнение проектно-изыскательных работ по объекту: «Ремонт моста через р. Желобная на км 85+950 А-159 подъезднаядорогаот г. Майкопа к Кавказскому государственному биосферному заповеднику, РеспубликаАдыгея»;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХДОРОГ""ЧЕРНОМОРЬЕ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";16.03.2021;1 266 150,00 ;;;;;;;;;;;;;;
№ 0176200005521000214;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0176200005521000214;Определение поставщика завершено;Ремонт автомобильнойдорогиПодъезд к а. Афипсип на км 1+000 - км 1+658 в границах МО «Тахтамукайский район» РеспубликиАдыгея;КОМИТЕТ РЕСПУБЛИКИАДЫГЕЯПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК;05.03.2021;5 541 983,34 ;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0176200005521000214;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ АДЫГЕЯ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ ""АДЫГЕЯАВТОДОР""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ФИРМА ""ТАХТАМУКАЙСКОЕ ДРСУ""";;1 - Победитель;5 237 174,22;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОМТЕХСТРОЙ""";2 - Второй номер;5 264 884,14;;;;;
№ 0176200005521000204;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0176200005521000204;Определение поставщика завершено;Ремонт автомобильнойдорогиподъезд к ст. Гиагинской от автомобильнойдорогиМайкоп - Гиагинская - Псебай - Зеленчукская - Карачаевск на км 2+800 - 3+800 МО «Гиагинский район» РеспубликиАдыгея;КОМИТЕТ РЕСПУБЛИКИАДЫГЕЯПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК;05.03.2021;10 458 368,00 ;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0176200005521000204;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ АДЫГЕЯ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ ""АДЫГЕЯАВТОДОР""";;0101011792;В течение десяти минут после начала проведения электронного аукциона было подано единственное предложение о цене контракта. По результатам рассмотрения второй части такой заявки принято решение о ее соответствии требованиям, установленным документацией об электронном аукционе (ч.13 ст.69 Закона № 44-ФЗ).;;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ШОВГЕНОВСКИЙ ДОРОЖНЫЙ РЕМОНТНО-СТРОИТЕЛЬНЫЙ УЧАСТОК""";;10 406 076,16;01.04.2022;31.03.2021;385440, Российская Федерация,  РЕСП АДЫГЕЯ,  Р-Н ШОВГЕНОВСКИЙ,  АУЛ МАМХЕГ,  УЛ СОВЕТСКАЯ, 87,;79184249328gup.drsu@yandex.ru;
