№ закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус№1;Цена победителя;№2;Статус №2;Цена №2;Дата окончания контракта;Дата начала контракта;ИНН;Адрес;Контакты;ФИО Руководителя
№ 32009636934;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009636934;Закупка завершена;Запрос котировок среди субъектов малого и среднего предпринимательства в электронной форме № 3887/ЗКТЭ-ЦДИ ЦВ/20 на право заключения договора оказания услуг по экспресс-доставке корреспонденции (ВЧДЭ-10Астрахань);"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕДОРОГИ""";30.10.2020;647 972,44 ₽;;;;;;;;;;;;;;
№ 0825500000620000137;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0825500000620000137;Определение поставщика завершено;Ремонт автомобильнойдорогиобщего пользования регионального значения Новоурусовка-Белый Ильмень на участке км 15+600-км 30+895, в Красноярском районеАстраханскойобласти, протяженностью 15,295 км;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕАСТРАХАНСКОЙОБЛАСТИ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫМИДОРОГАМИОБЩЕГО ПОЛЬЗОВАНИЯ ""АСТРАХАНЬАВТОДОР""";30.10.2020;194 095 560,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0825500000620000137;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ АСТРАХАНСКОЙ ОБЛАСТИ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫМИ ДОРОГАМИ ОБЩЕГО ПОЛЬЗОВАНИЯ ""АСТРАХАНЬАВТОДОР""";;В течение десяти минут после начала проведения электронного аукциона было подано единственное предложение о цене контракта. По результатам рассмотрения второй части такой заявки принято решение о ее соответствии требованиям, установленным документацией об электронном аукционе (ч.13 ст.69 Закона № 44-ФЗ).;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭТАЛОН""";;193 125 082,20;31.12.2021;02.12.2020;3019009348;414032, ОБЛ АСТРАХАНСКАЯ, Г АСТРАХАНЬ, УЛ АКСАКОВА, 13, 1, 11;79054801337Etalon-2016@yandex.ru;
№ 0125300005920000065;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0125300005920000065;Определение поставщика завершено;Выполнение работ по обустройству пешеходного перехода в с. Сокрутовка Ахтубинского районаАстраханскойобласти;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""АХТУБИНСКИЙ РАЙОН""АСТРАХАНСКОЙОБЛАСТИ";30.10.2020;1 026 000,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0125300005920000065;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""АХТУБИНСКИЙ РАЙОН"" АСТРАХАНСКОЙ ОБЛАСТИ";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НПО МЭК ЭНЕРГИЯ""";1 - Победитель;816 620,00;Белов С. В.;2 - Второй номер;821 750,00;30.12.2020;24.11.2020;9721102492;111674, Г МОСКВА 77, УЛ ПОКРОВСКАЯ, ДОМ 21, ЭТ 1 ПОМ V ОФ 18;7-977-6057441zakazmek@yandex.ru;
№ 0825500000620000136;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0825500000620000136;Определение поставщика завершено;Оказание услуг по расчистке майны паромной переправы «Старая Волга», расположенной на внутренних водных путях Российской Федерации в Икрянинском районеАстраханскойобласти.;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕАСТРАХАНСКОЙОБЛАСТИ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫМИДОРОГАМИОБЩЕГО ПОЛЬЗОВАНИЯ ""АСТРАХАНЬАВТОДОР""";30.10.2020;2 317 500,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0825500000620000136;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ АСТРАХАНСКОЙ ОБЛАСТИ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫМИ ДОРОГАМИ ОБЩЕГО ПОЛЬЗОВАНИЯ ""АСТРАХАНЬАВТОДОР""";;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";;92 700,00;31.12.2021;16.12.2020;7702352454;127055, г. Москва, ул. Сущевская, д.19, стр. 7;8-8512-584821mail@ark.rosmorport.ru;
№ 0825500000620000135;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0825500000620000135;Определение поставщика завершено;Оказание услуг по расчистке майн паромных переправ «Маячное», «Трудфронт», «Главный Банк», расположенных на акватории Волго-Каспийского морского судоходного канала в Икрянинском  районеАстраханскойобласти.;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕАСТРАХАНСКОЙОБЛАСТИ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫМИДОРОГАМИОБЩЕГО ПОЛЬЗОВАНИЯ ""АСТРАХАНЬАВТОДОР""";30.10.2020;13 905 000,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0825500000620000135;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ АСТРАХАНСКОЙ ОБЛАСТИ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫМИ ДОРОГАМИ ОБЩЕГО ПОЛЬЗОВАНИЯ ""АСТРАХАНЬАВТОДОР""";;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";;92 700,00;31.12.2021;16.12.2020;7702352454;127055, г. Москва, ул. Сущевская, д.19, стр. 7;8-8512-584821mail@ark.rosmorport.ru;
№ 0825500000620000134;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0825500000620000134;Определение поставщика завершено;Разработка проектной документации по объекту: «Капитальный ремонт автомобильнойдорогиобщего пользования регионального значения Три Протока – Яксатово км 0+000 - км 5+808 в Приволжском районеАстраханскойобласти»;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕАСТРАХАНСКОЙОБЛАСТИ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫМИДОРОГАМИОБЩЕГО ПОЛЬЗОВАНИЯ ""АСТРАХАНЬАВТОДОР""";30.10.2020;10 099 862,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0825500000620000134;;;;;;;;31.12.2021;23.12.2020;7722358430;109052, Г МОСКВА, УЛ ПОДЪЁМНАЯ, ДОМ 14, СТРОЕНИЕ 37, Э/ПОМ/КОМ 7/I/1-4;74956452331am-is95@yandex.ru;
№ 0318100043420000045;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0318100043420000045;Определение поставщика завершено;Капитальный ремонт моста через реку Хурдун на км 49+168 автомобильнойдорогиР-215Астрахань- Кочубей- Кизляр - Махачкала,Астраханскаяобласть;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХДОРОГ""КАСПИЙ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";29.10.2020;347 289 400,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0318100043420000045;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХ ДОРОГ ""КАСПИЙ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";;По окончании срока подачи заявок подана только одна заявка, заявка соответствует требованиям. Конкурс в электронной форме признан несостоявшимся (ч. 16 ст. 54.4 Закона № 44-ФЗ).;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОРМОСТСЕРВИС""";;347 000 000,00;30.11.2022;11.12.2020;7743930506;25.10.2021;26.08.2021;
№ 0348100042420000129;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0348100042420000129;Определение поставщика завершено;"Расходы на подготовку документации по планировке территории и обоснования инвестиций в целях создания объектов капитального строительства федеральной собственности. АвтомобильнаядорогаР-22 ""Каспий"" автомобильнаядорогаМ-4 ""Дон"" - Тамбов - Волгоград -Астраханьна участке км 169 - км 185, Московская область (лот 141)";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ФЕДЕРАЛЬНОЕ УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХДОРОГ""ЦЕНТРАЛЬНАЯ РОССИЯ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";27.10.2020;15 766 400,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0348100042420000129;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ФЕДЕРАЛЬНОЕ УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ ""ЦЕНТРАЛЬНАЯ РОССИЯ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ КОМПАНИЯ ""ЛЕОН""";1 - Победитель;12 928 448,00;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВОЛГАДОРПРОЕКТ""";2 - Второй номер;14 190 000,00;15.12.2021;08.12.2020;3525162430;160000, ОБЛ ВОЛОГОДСКАЯ 35, Г ВОЛОГДА, УЛ ЧЕЛЮСКИНЦЕВ, ДОМ 3, ОФИС 514;;
№ 0364100001820000073;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0364100001820000073;Определение поставщика завершено;Подготовка документации по планировке территории участка автомобильнойдорогиобщего пользования федерального значения Р-22 «Каспий» автомобильнаядорогаМ-4 «Дон» – Тамбов – Волгоград –Астраханькм 356+000 – км 371+000 в Тамбовской области;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-ВОЛГОГРАД ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";26.10.2020;2 000 000,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0364100001820000073;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-ВОЛГОГРАД ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";ЯРКОВАЮЛИЯСЕРГЕЕВНА;1 - Победитель;500 000,00;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАНС-ИНЖИНИРИНГ""";2 - Второй номер;2 000 000,00;15.09.2021;08.12.2020;Да;ОБЛ ТАМБОВСКАЯ 68, Г ТАМБОВ;субъект малого предпринимательства;
№ 0860400000320000035;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0860400000320000035;Определение поставщика завершено;"Выполнение работ объекту: «Ремонт автомобильнойдорогиР-22 ""Каспий"" автомобильнаядорогаМ-4 ""Дон"" - Тамбов - Волгоград -Астрахань(подъезд к городу Саратов) на участке км 708+000 - км 714+000, Саратовская область»";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""НИЖНЕ-ВОЛЖСКОЕ УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХДОРОГФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";26.10.2020;163 282 727,10 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0860400000320000035;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""НИЖНЕ-ВОЛЖСКОЕ УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХ ДОРОГ ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВТОВОЛГАСТРОЙ""";1 - Победитель;162 466 313,47;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""САДОР""";2 - Второй номер;155 118 591,00;31.12.2021;08.12.2020;6324056090;443095, ОБЛ САМАРСКАЯ 63, Г САМАРА, УЛ ТАШКЕНТСКАЯ, Д 194, КОМНАТА 34;;
