№ закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;ИНН;Статус№1;Цена победителя;№2;Статус №2;Цена №2;Дата окончания контракта;Дата начала контракта;Адрес;Контакты;ФИО Руководителя
№ 0372100009921000022;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0372100009921000022;Подача заявок;Лот № 11: Выполнение работ по содержанию систем видеоконтроля (камер фотовидеофиксации нарушений ПДД) в рамках выполнения работ по содержанию действующей сети автомобильныхдорогобщего пользования федерального значения в 2021 году, находящихся в оперативном управлении ФКУ Упрдор «Северо-Запад» (в Ленинградской, Псковской областях и в г.Санкт-Петербурге);"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХДОРОГ""СЕВЕРО-ЗАПАД"" ИМЕНИ Н.В. СМИРНОВА ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";01.04.2021;56 489 848,00 ;;;;;;;;;;;;;;
№ 0172300001221000011;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0172300001221000011;Подача заявок;"Работы по расчистке территории, удалению растительности; Услуги по чистке и уборке прочие, не включенные в другие группировки; Услуги по планировке ландшафта; Работы строительные по строительству гражданских сооружений, не включенные в другие группировки;Дорогиавтомобильные, в том числе улично-дорожная сеть, и прочие автомобильные и пешеходныедороги; Услуги в области ландшафтной архитектуры, кроме услуг, связанных с сохранением и воссозданием объектов культурного наследия";МЕСТНАЯ АДМИНИСТРАЦИЯ ВНУТРИГОРОДСКОГО МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯСАНКТ-ПЕТЕРБУРГАМУНИЦИПАЛЬНОГО ОКРУГА №72;01.04.2021;481 919,22 ;;;;;;;;;;;;;;
№ 0372100009921000020;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0372100009921000020;Подача заявок;Лот № 19: Выполнение работ по капитальному ремонту искусственных сооружений на действующей сети автомобильныхдорогобщего пользования федерального значения: Капитальный ремонт водопропускных труб на км 660+640, км 661+163 автомобильнойдорогиМ-10 «Россия» Москва – Тверь – Великий Новгород –Санкт-Петербург, Ленинградская область;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХДОРОГ""СЕВЕРО-ЗАПАД"" ИМЕНИ Н.В. СМИРНОВА ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";01.04.2021;75 664 132,00 ;;;;;;;;;;;;;;
№ 0372100009921000019;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0372100009921000019;Подача заявок;Лот № 17: Выполнение работ по текущему ремонту искусственных сооружений на действующей сети  автомобильныхдорогобщего пользования федерального значения: Ремонт путепровода через железнуюдорогуна км 536+355 автомобильнойдорогиР-23Санкт-Петербург- Псков - Пустошка - Невель - граница с Республикой Белоруссия, Псковская область;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХДОРОГ""СЕВЕРО-ЗАПАД"" ИМЕНИ Н.В. СМИРНОВА ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";01.04.2021;71 804 459,00 ;;;;;;;;;;;;;;
№ 0172300011721000004;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0172300011721000004;Подача заявок;Выполнение работ по текущему ремонтудороги(замена водопропускной трубы, п. Солнечное ул. Советская), расположенной в пределах границ муниципального образования п. Солнечное;МЕСТНАЯ АДМИНИСТРАЦИЯ ВНУТРИГОРОДСКОГО МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОДА ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯСАНКТ-ПЕТЕРБУРГАПОСЕЛОК СОЛНЕЧНОЕ;01.04.2021;96 051,66 ;;;;;;;;;;;;;;
№ 0172300001821000004;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0172300001821000004;Подача заявок;Выполнение работ по благоустройству территорий муниципального образования Финляндский округ в 2021 году;МЕСТНАЯ АДМИНИСТРАЦИЯ ВНУТРИГОРОДСКОГО МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯСАНКТ-ПЕТЕРБУРГАМУНИЦИПАЛЬНОГО ОКРУГА ФИНЛЯНДСКИЙ ОКРУГ;01.04.2021;67 131 297,60 ;;;;;;;;;;;;;;
№ 0306100000421000030;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0306100000421000030;Подача заявок;"Подготовка документации по планировке территории и обоснования инвестиций в целях создания объектов капитального строительства федеральной собственности. АвтомобильнаядорогаР-21 ""Кола""Санкт-Петербург- Петрозаводск - Мурманск - Печенга - граница с Королевством Норвегия, подъезд к г. Североморск на участке км 19+027 - км 32+517, Мурманская область";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИСАНКТ-ПЕТЕРБУРГ- МУРМАНСК ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";31.03.2021;12 292 100,00 ;;;;;;;;;;;;;;
№ 0306100000421000029;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0306100000421000029;Подача заявок;"Капитальный ремонт автомобильнойдорогиР-21 ""Кола""Санкт-Петербург- Петрозаводск - Мурманск - Печенга - граница с Королевством Норвегия на участке км 773 - км 786, Республика Карелия (проведение строительного контроля при осуществлении капитального ремонта и обследование объекта после его капитального ремонта)";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИСАНКТ-ПЕТЕРБУРГ- МУРМАНСК ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";31.03.2021;16 099 657,90 ;;;;;;;;;;;;;;
№ 0306100000421000028;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0306100000421000028;Подача заявок;"Ремонт моста через реку Немина на км 554+962 автомобильнойдорогиА-119 Вологда - Медвежьегорск - автомобильнаядорогаР-21 ""Кола"", Республика Карелия. Ремонт моста через реку Куржа на км 557+130 автомобильнойдорогиА-119 Вологда - Медвежьегорск - автомобильнаядорогаР-21 ""Кола"", Республика Карелия";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИСАНКТ-ПЕТЕРБУРГ- МУРМАНСК ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";31.03.2021;71 680 920,00 ;;;;;;;;;;;;;;
№ 0306100000421000027;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0306100000421000027;Подача заявок;"Ремонт моста через реку Лукдожма (Лундожма) на км 544+462 автомобильнойдорогиА-119 Вологда - Медвежьегорск - автомобильнаядорогаР-21 ""Кола"", Республика Карелия";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИСАНКТ-ПЕТЕРБУРГ- МУРМАНСК ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";31.03.2021;79 152 540,00 ;;;;;;;;;;;;;;
